Stand,Species,Detections
1225_14,bobcat,4
1225_14,coyote,22
1225_14,raccoon,186
1225_14,striped skunk,135
1225_16,coyote,45
1225_16,raccoon,668
1225_16,striped skunk,14
1225_4,bobcat,7
1225_4,coyote,3
1225_4,raccoon,332
1227_72,bobcat,17
1227_72,raccoon,636
1230_10,bobcat,15
1230_10,coyote,36
1230_10,raccoon,670
1230_10,striped skunk,9
1231_25,bobcat,3
1231_25,coyote,36
1231_25,raccoon,220
1231_73,coyote,111
1231_73,raccoon,91
1232_11,bobcat,12
1232_11,coyote,68
1232_11,raccoon,227
1235_11,coyote,50
1235_11,raccoon,1227
1235_11,striped skunk,21
1235_54,bobcat,4
1235_54,coyote,15
1235_54,raccoon,129
1237_24,coyote,9
1237_24,raccoon,6
1240_15,coyote,1
1240_15,raccoon,576
1243_23,raccoon,21
1243_23,raccoon,463
1245_1,coyote,22
1245_1,raccoon,748
1246_3,coyote,7
1246_3,raccoon,205
1246_3,striped skunk,541
1248_15,coyote,98
1248_15,raccoon,576
1248_15,striped skunk,19
1252_9,bobcat,3
1252_9,coyote,35
1252_9,raccoon,1468
1253_1,bobcat,11
1253_1,coyote,519
1253_1,raccoon,789
1253_1,striped skunk,478
1253_12,bobcat,3
1253_12,raccoon,142
1253_12,striped skunk,12
1253_14,coyote,58
1253_14,raccoon,136
1253_14,striped skunk,9
1253_2,raccoon,32
1253_23,raccoon,369
1253_23,striped skunk,8
1253_9,bobcat,4
1253_9,coyote,10
1253_9,raccoon,153
1257_13,coyote,6
1257_13,raccoon,68
1257_13,raccoon,731
1257_25,raccoon,575
1257_25,striped skunk,4
1258_18,bobcat,17
1258_18,coyote,35
1258_18,raccoon,24
1258_4,raccoon,202
1258_4,striped skunk,6
1260_15,coyote,30
1260_15,raccoon,397
1260_19,raccoon,155
1260_24,bobcat,11
1260_24,coyote,33
1260_24,raccoon,322
1260_24,striped skunk,14
1260_7,bobcat,3
1260_7,coyote,9
1260_7,raccoon,202
1260_7,striped skunk,24
1260_8,coyote,25
1260_8,raccoon,201
1260_8,striped skunk,9
1261_15,bobcat,9
1261_15,coyote,4
1261_15,striped skunk,426
1261_18,coyote,10
1261_18,raccoon,237
1261_2,coyote,1
1261_2,raccoon,45
1261_2,striped skunk,12
1261_27,coyote,8
1261_27,raccoon,44
1261_27,striped skunk,24
1261_28,coyote,3
1261_28,raccoon,39
1261_28,striped skunk,21
1261_3,coyote,1
1261_3,raccoon,19
1261_3,striped skunk,338
1261_38,coyote,4
1261_38,raccoon,1
1261_38,striped skunk,12
1261_42,bobcat,8
1261_42,coyote,15
1261_42,raccoon,114
1261_6,coyote,2
1261_6,raccoon,159
1261_6,striped skunk,97
1262_7,coyote,6
1262_7,raccoon,29
1263_11,coyote,1
1263_15,coyote,36
1263_15,raccoon,579
1263_5,bobcat,3
1263_5,coyote,35
1263_5,raccoon,80
1263_5,striped skunk,6
1263_6,coyote,3
1263_6,raccoon,128
1263_6,striped skunk,28
1264_17,raccoon,54
1264_17,striped skunk,6
1265_3,coyote,448
1265_3,raccoon,109
1266_8,coyote,49
1266_8,raccoon,599
1267_1,bobcat,6
1267_1,raccoon,1517
1267_9,coyote,10
1267_9,raccoon,1233
1267_9,striped skunk,3
1270_23,coyote,3
1270_23,raccoon,43
1271_1,raccoon,508
1271_9,coyote,28
1271_9,raccoon,77
1271_9,striped skunk,15
1272_17,coyote,15
1272_17,raccoon,297
1276_1,bobcat,6
1276_1,coyote,4
1276_1,raccoon,191
1276_19,raccoon,1298
1277_13,bobcat,3
1277_13,coyote,7
1277_13,raccoon,503
1277_2,raccoon,456
1277_24,bobcat,1
1277_24,raccoon,1091
1280_17,coyote,4
1280_17,raccoon,174
1280_17,striped skunk,257
1281_5,coyote,21
1281_5,raccoon,83
1281_6,coyote,18
1281_6,raccoon,69
1281_8,bobcat,6
1281_8,coyote,1
1281_8,raccoon,490
1282_11,coyote,32
1282_11,raccoon,445
1282_11,striped skunk,3
1282_17,coyote,16
1282_17,raccoon,805
1282_17,striped skunk,6
1282_2,bobcat,21
1282_2,coyote,26
1282_2,raccoon,403
1282_23,bobcat,13
1282_23,coyote,3
1282_23,raccoon,938
1282_25,coyote,39
1282_25,raccoon,1151
1283_7,coyote,6
1283_7,raccoon,538
1287_10,bobcat,23
1287_10,raccoon,71
1288_6,bobcat,1
1288_6,coyote,20
1288_6,raccoon,162
1289_10,bobcat,6
1289_10,coyote,39
1289_10,raccoon,206
1289_13,bobcat,11
1289_13,raccoon,1008
1289_16,coyote,9
1289_16,raccoon,75
1289_2,coyote,5
1289_2,raccoon,464
1289_42,raccoon,557
1290_1,bobcat,7
1290_1,coyote,34
1290_1,raccoon,384
1290_1,striped skunk,23
1291_9,bobcat,20
1291_9,coyote,9
1291_9,raccoon,476
1291_9,striped skunk,4
1292_10,bobcat,10
1292_10,coyote,16
1292_10,raccoon,919
1292_5,bobcat,4
1292_5,coyote,5
1292_5,raccoon,1371
1296_5,bobcat,3
1296_5,coyote,43
1296_5,raccoon,1174
1297_12,bobcat,36
1297_12,coyote,2
1297_12,raccoon,438
1297_3,raccoon,650
1297_7,coyote,15
1297_7,raccoon,2156
1298_1,bobcat,3
1298_1,coyote,22
1298_1,raccoon,1803
1298_1,striped skunk,53
1305_7,bobcat,9
1305_7,coyote,10
1305_7,raccoon,3
1327_22,bobcat,17
1327_22,raccoon,132
1327_7,bobcat,3
1327_7,coyote,23
1327_7,raccoon,177
