Stand,bobcat,coyote,SpSkunk,StSkunk
1246_3,0,2,0,4
1253_1,2,2,0,2
1261_6,0,0,1,4
1263_6,0,1,0,2
1261_27,0,2,0,2
1298_1,1,1,0,2
1225_16,0,2,0,1
1261_28,0,2,0,2
1261_2,0,1,0,2
1248_15,0,1,0,2
1261_3,0,1,0,4
1260_7,1,0,4,3
1261_38,0,1,0,2
1260_8,0,2,0,1
1258_4,0,0,0,1
1264_17,0,0,0,1
1230_10,2,2,3,2
1235_11,0,4,0,3
1282_11,0,2,1,1
1261_15,1,2,0,1
1253_23,0,0,0,1
1290_1,2,3,0,2
1291_9,2,3,0,1
1263_5,1,2,0,1
1280_17,0,1,0,1
1225_14,1,3,0,2
1253_14,0,3,0,1
1253_12,1,0,0,2
1282_17,0,3,2,1
1257_25,0,0,0,1
1271_9,0,3,0,1
1260_24,1,3,0,1
1267_9,0,3,0,1
1231_25,1,3,3,0
1231_73,0,2,3,0
1240_15,0,1,2,0
1277_13,1,2,3,0
1235_54,2,2,3,0
1292_10,1,1,3,0
1282_25,0,3,2,0
1252_9,1,2,1,0
1227_72,2,0,1,0
1282_23,2,1,2,0
1292_5,1,3,1,0
1276_1,3,2,1,0
1277_2,0,0,1,0
1289_10,1,1,0,0
1281_5,0,2,0,0
1282_2,1,3,0,0
1245_1,0,2,0,0
1253_9,1,1,0,0
1237_24,0,1,0,0
1232_11,1,4,0,0
1296_5,0,2,0,0
1261_18,0,2,0,0
1281_6,0,2,0,0
1266_8,0,4,0,0
1297_7,0,2,0,0
1289_2,0,2,0,0
1258_18,3,2,0,0
1263_15,0,2,0,0
1281_8,2,1,0,0
1283_7,0,1,0,0
1288_6,1,3,0,0
1260_15,0,2,0,0
1257_2,0,2,0,0
1327_7,0,1,0,0
1263_11,0,1,0,0
1265_3,0,2,0,0
1305_7,1,2,0,0
1225_4,1,1,0,0
1262_7,0,1,0,0
1297_12,2,1,0,0
1261_42,2,0,0,0
1272_17,0,0,0,0
1289_16,0,0,0,0
1270_23,0,0,0,0
1289_13,1,0,0,0
1327_22,2,0,0,0
1287_10,3,0,0,0
1277_24,1,0,0,0
1267_1,1,0,0,0
1243_23,0,0,0,0
1243_26,0,0,0,0
1253_2,0,0,0,0
1257_13,0,0,0,0
1260_19,0,0,0,0
1271_1,0,0,0,0
1276_19,0,0,0,0
1289_42,0,0,0,0
1297_3,0,0,0,0
