Species,NumPred,Stands,Count 
bobcat,3,1225_14,4
coyote,3,1225_14,22
gray fox,3,1225_14,10
coyote,1,1225_16,45
bobcat,3,1225_4,7
coyote,3,1225_4,3
gray fox,3,1225_4,41
bobcat,2,1227_72,17
gray fox,2,1227_72,18
bobcat,4,1230_10,15
coyote,4,1230_10,36
gray fox,4,1230_10,171
owl,4,1230_10,6
bobcat,3,1231_25,3
coyote,3,1231_25,36
gray fox,3,1231_25,128
coyote,2,1231_73,111
gray fox,2,1231_73,9
bobcat,3,1232_11,12
coyote,3,1232_11,68
coyote,3,1235_11,50
bobcat,3,1235_54,4
coyote,3,1235_54,15
owl,3,1235_54,3
coyote,2,1237_24,9
gray fox,2,1237_24,19
coyote,1,1240_15,1
gray fox,1,1243_26,23
coyote,1,1245_1,22
coyote,2,1246_3,7
gray fox,2,1246_3,22
coyote,1,1248_15,98
bobcat,2,1252_9,3
coyote,2,1252_9,35
bobcat,3,1253_1,11
coyote,3,1253_1,519
owl,3,1253_1,9
bobcat,2,1253_12,3
gray fox,2,1253_12,10
coyote,2,1253_14,58
gray fox,2,1253_14,12
bobcat,2,1253_9,4
coyote,2,1253_9,10
coyote,2,1257_2,6
gray fox,2,1257_2,8
gray fox,1,1257_25,2
bobcat,2,1258_18,17
coyote,2,1258_18,35
gray fox,1,1258_4,6
coyote,2,1260_15,30
gray fox,2,1260_15,176
gray fox,1,1260_19,215
bobcat,2,1260_24,11
coyote,2,1260_24,33
bobcat,3,1260_7,3
coyote,3,1260_7,9
gray fox,3,1260_7,568
coyote,2,1260_8,25
gray fox,2,1260_8,10
bobcat,3,1261_15,9
coyote,3,1261_15,4
gray fox,3,1261_15,5
coyote,1,1261_18,10
coyote,2,1261_2,1
gray fox,2,1261_2,6
coyote,2,1261_27,8
gray fox,2,1261_27,54
coyote,2,1261_28,3
gray fox,2,1261_28,17
coyote,2,1261_3,1
gray fox,2,1261_3,199
coyote,2,1261_38,4
gray fox,2,1261_38,63
bobcat,2,1261_42,8
coyote,2,1261_42,15
coyote,2,1261_6,2
gray fox,2,1261_6,38
coyote,2,1262_7,6
gray fox,2,1262_7,193
coyote,2,1263_11,1
gray fox,2,1263_11,76
coyote,2,1263_15,36
gray fox,2,1263_15,21
bobcat,3,1263_5,3
coyote,3,1263_5,35
gray fox,3,1263_5,48
coyote,2,1263_6,3
gray fox,2,1263_6,9
gray fox,1,1264_17,137
coyote,1,1265_3,448
coyote,1,1266_8,49
bobcat,1,1267_1,6
coyote,1,1267_9,10
coyote,1,1270_23,3
gray fox,2,1271_1,3
owl,2,1271_1,9
coyote,2,1271_9,28
gray fox,2,1271_9,228
coyote,2,1272_17,15
gray fox,2,1272_17,4
bobcat,3,1276_1,6
coyote,3,1276_1,4
gray fox,3,1276_1,3
bobcat,3,1277_13,3
coyote,3,1277_13,7
owl,3,1277_13,6
bobcat,1,1277_24,1
coyote,2,1280_17,4
gray fox,2,1280_17,10
coyote,2,1281_5,21
gray fox,2,1281_5,19
coyote,1,1281_6,18
bobcat,2,1281_8,6
coyote,2,1281_8,1
coyote,2,1282_11,32
gray fox,2,1282_11,157
coyote,2,1282_17,16
gray fox,2,1282_17,36
bobcat,2,1282_2,21
coyote,2,1282_2,26
bobcat,2,1282_23,13
coyote,2,1282_23,3
coyote,2,1282_25,39
gray fox,2,1282_25,19
coyote,1,1283_7,6
bobcat,1,1287_10,23
bobcat,3,1288_6,1
coyote,3,1288_6,20
gray fox,3,1288_6,5
bobcat,3,1289_10,6
coyote,3,1289_10,39
gray fox,3,1289_10,72
bobcat,1,1289_13,11
coyote,2,1289_16,9
gray fox,2,1289_16,27
coyote,3,1289_2,5
gray fox,3,1289_2,17
owl,3,1289_2,9
gray fox,2,1289_42,6
great horned owl,2,1289_42,541
bobcat,2,1290_1,7
coyote,2,1290_1,34
bobcat,3,1291_9,20
coyote,3,1291_9,9
gray fox,3,1291_9,62
bobcat,3,1292_10,10
coyote,3,1292_10,16
owl,3,1292_10,15
bobcat,5,1292_5,4
coyote,5,1292_5,5
bobcat,5,1296_5,3
coyote,5,1296_5,43
gray fox,5,1296_5,37
bobcat,2,1297_12,36
coyote,2,1297_12,2
gray fox,1,1297_3,78
coyote,1,1297_7,15
bobcat,3,1298_1,3
coyote,3,1298_1,22
gray fox,3,1298_1,96
bobcat,3,1305_7,9
coyote,3,1305_7,10
gray fox,3,1305_7,7
bobcat,1,1327_22,17
bobcat,2,1327_7,3
coyote,2,1327_7,23
